dapp,block,addresses
2022-04-rari, 14684813, 0x26267e41CeCa7C8E0f143554Af707336f27Fa051;0xEbE0d1cb6A0b8569929e062d67bfbC07608f0A47;0x3f2D1BC6D02522dbcdb216b2e75eDDdAFE04B16F;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
2022-04-saddle, 14684306, 0x824dcD7b044D60df2e89B1bB888e66D8BCf41491;0xA5407eAE9Ba41422680e2e00537571bcC53efBfD;0x5f86558387293b6009d7896A61fcc86C17808D62;0x57Ab1ec28D129707052df4dF418D58a2D46d5f51;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
2022-05-bayc_apecoin, 14403948, 0x4d224452801ACEd8B2F0aebE155379bb5D594381;0x025C6da5BD0e6A5dd1350fda9e3B6a614B205a1F;0xEA47B64e1BFCCb773A0420247C0aa0a3C1D2E5C5;0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D
2022-06-harmony_multisig, 15012645, 0xdAC17F958D2ee523a2206206994597C13D831ec7;0x715CdDa5e9Ad30A0cEd14940F9997EE611496De6
2022-06-snood, 14983660, 0x0F6b0960d2569f505126341085ED7f0342b67DAe;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0xD45740aB9ec920bEdBD9BAb2E863519E59731941
2022-07-flippazone, 15083765, 0xE85A08Cf316F695eBE7c13736C8Cc38a7Cc3e944
2022-08-luckytiger, 15403430, 0x9c87A5726e98F2f404cdd8ac8968E9b2C80C0967
2022-08-nomadbridge, 15259100, 0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599;0x5D94309E5a0090b165FA4181519701637B6DAEBA
2022-08-xst, 15310016, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x694f8F9E0ec188f528d6354fdd0e47DcA79B6f2C;0x91383A15C391c142b80045D8b4730C1c37ac0378;0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852;0xdAC17F958D2ee523a2206206994597C13D831ec7
2022-08-xst2, 15310016, 0x91383A15C391c142b80045D8b4730C1c37ac0378;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852;0x694f8F9E0ec188f528d6354fdd0e47DcA79B6f2C
2022-09-BadGuysbyRPF, 15460093, 0xB84CBAF116eb90fD445Dd5AeAdfab3e807D2CBaC
